,D001,D002,D003,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D046,D047,D048,D049,D050,D051,D055,D057,D058,D059,D061,D062,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130
a1161f465a91275fd559ef0023e25a43,282.0,0,114.0,27.0,173.0,108.0,59.0,0,71.0,0,0,59.0,28.0,0,119.0,0,0,46.0,0,48.0,0,244.0,26.0,0,162.0,115.0,29.0,495.0,178.0,168.0,109.0,95.0,0,0,0,143.0,269.0,320.0,0,76.0,0,0,145.0,0,115.0,99.0,0,126.0,44.0,244.0,313.0,0,0,131.0,0,79.0,19.0,0,0,0,24.0,0,38.0,0,78.0,0,0,159.0,178.0,248.0,17.0,176.0,0,36.0,0,51.0,0,57.0,0,118.0,0,0,179.0,90.0,0,80.0,0,0,0,0,77.0,0,0,0,188.0,0,98.0,42.0,383.0,44.0,0,0,20.0,53.0,0,71.0,168.0,0,129.0,50.0,63.0,0,0,0,0,421.0,128.0,50.0,0
cce890cfc8f79d6d70b1d8ed287ebaaa,220.0,0,84.0,24.0,143.0,104.0,30.0,0,47.0,0,0,44.0,23.0,0,81.0,0,0,39.0,0,46.0,0,173.0,17.0,0,172.0,90.0,35.0,364.0,122.0,128.0,80.0,72.0,0,0,0,110.0,230.0,225.0,0,70.0,0,0,90.0,0,97.0,96.0,0,89.0,28.0,179.0,229.0,0,0,100.0,0,66.0,31.0,0,0,0,21.0,0,17.0,0,69.0,0,0,122.0,137.0,158.0,7.0,124.0,0,41.0,0,52.0,0,35.0,0,77.0,0,0,151.0,67.0,0,49.0,0,0,0,0,59.0,0,0,0,126.0,0,83.0,33.0,254.0,38.0,0,0,25.0,28.0,0,36.0,134.0,0,92.0,27.0,53.0,0,0,0,0,354.0,107.0,43.0,0
895835ed592759cc8f15ecb97f71d19c,191.0,0,71.0,15.0,114.0,62.0,35.0,0,48.0,0,0,37.0,16.0,0,58.0,0,0,35.0,0,35.0,0,127.0,21.0,0,106.0,83.0,0,304.0,121.0,124.0,64.0,59.0,0,0,0,104.0,197.0,231.0,0,50.0,0,0,88.0,24.0,88.0,62.0,0,79.0,33.0,175.0,173.0,0,0,96.0,0,54.0,21.0,0,0,0,18.0,0,24.0,0,60.0,0,0,95.0,111.0,161.0,13.0,110.0,0,24.0,0,53.0,0,37.0,0,68.0,0,0,158.0,55.0,0,54.0,0,0,0,0,48.0,0,0,0,138.0,0,60.0,38.0,227.0,34.0,0,0,15.0,31.0,0,45.0,87.0,0,104.0,24.0,29.0,0,0,0,0,342.0,84.0,39.0,0
3acb899e77ef5448ce27be7e214380e0,51.0,0,76.0,556.0,36.0,74.0,0,37.0,58.0,34.0,0,42.0,60.0,0,66.0,106.0,0,48.0,15.0,0,0,87.0,44.0,51.0,30.0,16.0,40.0,33.0,54.0,39.0,24.0,67.0,75.0,67.0,109.0,53.0,58.0,16.0,0,48.0,55.0,50.0,0,68.0,20.0,0,90.0,0,57.0,0,111.0,430.0,37.0,32.0,41.0,60.0,32.0,29.0,0,0,43.0,145.0,160.0,0,35.0,57.0,91.0,69.0,72.0,42.0,45.0,0,46.0,24.0,30.0,0,247.0,0,46.0,0,30.0,0,36.0,0,46.0,75.0,0,133.0,0,0,94.0,73.0,0,0,0,0,45.0,34.0,0,121.0,81.0,0,96.0,85.0,0,48.0,25.0,0,36.0,0,0,27.0,0,56.0,141.0,0,88.0,29.0,29.0
c81b917278cb517fbd23b3e4a6a44154,154.0,0,52.0,0,86.0,45.0,47.0,0,32.0,0,0,36.0,18.0,0,64.0,0,0,39.0,0,36.0,0,166.0,12.0,0,104.0,67.0,0,288.0,141.0,105.0,70.0,49.0,0,0,0,85.0,166.0,180.0,0,54.0,0,0,94.0,0,90.0,68.0,0,80.0,27.0,162.0,157.0,0,0,75.0,0,64.0,0,0,0,0,13.0,0,0,0,44.0,0,0,88.0,96.0,125.0,9.0,58.0,0,15.0,0,48.0,0,48.0,0,74.0,0,0,138.0,70.0,0,99.0,0,0,0,0,48.0,0,0,0,152.0,0,90.0,42.0,241.0,34.0,0,0,20.0,0,0,51.0,100.0,0,85.0,42.0,27.0,9.0,0,0,0,290.0,70.0,48.0,0
6bbe34bc82469ac3b8fd0080131883d9,607.0,0,0,15.0,37.0,150.0,142.0,0,112.0,0,0,23.0,27.0,0,206.0,0,0,52.0,0,74.0,0,128.0,28.0,0,84.0,36.0,33.0,77.0,40.0,25.0,113.0,59.0,0,0,0,33.0,172.0,145.0,28.0,99.0,0,0,104.0,0,62.0,156.0,69.0,40.0,41.0,90.0,273.0,0,0,27.0,0,316.0,32.0,0,0,0,27.0,0,39.0,0,10.0,0,0,48.0,118.0,45.0,20.0,42.0,0,46.0,0,51.0,0,39.0,0,97.0,0,0,78.0,69.0,17.0,117.0,0,0,0,0,30.0,0,0,0,40.0,0,0,39.0,77.0,28.0,0,0,43.0,0,0,55.0,90.0,0,47.0,73.0,57.0,22.0,0,0,0,36.0,32.0,40.0,0
f3d0152effcac13749e9a5f1b86d870e,31.0,94.0,0,148.0,0,0,0,39.0,0,0,100.0,19.0,0,138.0,0,0,59.0,23.0,0,0,31.0,27.0,114.0,30.0,0,31.0,114.0,14.0,0,0,0,0,0,0,14.0,16.0,41.0,0,27.0,17.0,546.0,0,0,234.0,0,81.0,0,0,113.0,332.0,28.0,229.0,525.0,70.0,1.0,14.0,0,42.0,132.0,0,0,0,21.0,98.0,0,0,578.0,0,29.0,0,0,25.0,0,30.0,0,0,0,0,125.0,0,0,0,0,0,16.0,0,108.0,0,0,41.0,219.0,40.0,43.0,0,0,25.0,120.0,39.0,18.0,0,0,0,54.0,0,0,0,47.0,0,55.0,122.0,0,0,0,0,0,18.0,0,54.0,50.0
bac5f86c2a077cb86eff29ccb44925af,189.0,0,60.0,15.0,116.0,65.0,35.0,0,47.0,0,0,42.0,10.0,0,71.0,0,0,24.0,0,29.0,0,138.0,14.0,0,133.0,70.0,0,303.0,96.0,79.0,84.0,53.0,0,0,0,82.0,141.0,201.0,0,42.0,0,0,76.0,0,66.0,66.0,0,86.0,35.0,140.0,216.0,0,0,83.0,0,52.0,15.0,0,0,0,10.0,0,19.0,0,58.0,0,0,88.0,88.0,117.0,12.0,115.0,0,26.0,0,36.0,0,23.0,0,46.0,0,0,101.0,62.0,0,39.0,0,0,0,0,34.0,0,0,0,119.0,0,54.0,28.0,195.0,25.0,0,0,11.0,40.0,0,38.0,79.0,0,79.0,25.0,35.0,0,0,0,0,255.0,76.0,35.0,0
86c038b33412d2505c6fabb8196bf38e,146.0,0,65.0,20.0,104.0,72.0,30.0,0,32.0,0,0,40.0,15.0,0,64.0,0,0,48.0,0,28.0,0,108.0,5.0,0,116.0,63.0,0,259.0,83.0,95.0,71.0,35.0,0,0,0,69.0,157.0,169.0,0,43.0,0,0,62.0,0,60.0,59.0,0,74.0,29.0,128.0,188.0,0,0,52.0,0,50.0,0,0,0,0,12.0,0,0,0,60.0,0,0,111.0,95.0,110.0,9.0,98.0,0,23.0,0,36.0,0,30.0,0,54.0,0,0,102.0,40.0,0,49.0,0,0,0,0,39.0,0,0,0,91.0,0,43.0,14.0,177.0,23.0,0,0,19.0,0,0,35.0,88.0,0,70.0,29.0,31.0,0,0,0,0,277.0,87.0,30.0,0
50e539082e8f2a6d5183ea9f7afdd435,90.0,32.0,0,0,0,22.0,0,278.0,0,0,76.0,76.0,0,34.0,45.0,0,41.0,20.0,57.0,44.0,85.0,31.0,0,28.0,0,0,0,23.0,0,0,0,0,0,198.0,195.0,35.0,0,0,0,27.0,0,420.0,0,0,0,0,44.0,0,0,0,83.0,173.0,27.0,17.0,80.0,0,0,157.0,0,0,42.0,404.0,26.0,177.0,0,0,0,0,0,78.0,0,37.0,26.0,0,372.0,0,0,0,128.0,0,0,0,0,57.0,19.0,0,0,0,0,154.0,0,0,125.0,0,0,0,0,0,0,0,18.0,264.0,0,0,0,0,43.0,40.0,34.0,0,0,0,0,132.0,324.0,23.0,0,0,139.0
